;pre;keyword;post
1;weiter . Proteste gegen die;Klimakrise;dürfen nicht aufhören , denn
2;nicht aufhören , denn die;Klimakrise;ist bereits bittere Realität .
3;müssen sofortige Maßnahmen gegen die;Klimakrise;"umsetzen "" , so Jördis"
4;, die Verantwortung in der;Klimakrise;übernehmen . Wähle fürs Klima
5;geht … Redet über die;Klimakrise;( aber richtig ) !
6;Zukunft zu gestalten und die;Klimakrise;"zu bekämpfen . "" sagt"
7;weder den Hate-Speech noch die;Klimakrise;. Kein Hasskommentar der Welt
8;""" Referentin Klimapolitik „ Die";Klimakrise;ist unlösbar ? Nein .
9;Herausforderungen aller Zeiten : die;Klimakrise;zu stoppen . Um die
10;„ Was mich antreibt :;Klimakrise;, Artensterben , Projektmanagement .
11;, wie wir auf die;Klimakrise;zusteuern . Daher engagiere ich
12;Nur so können wir die;Klimakrise;"rechtzeitig aufhalten . "" Referentin"
13;""" Referentin Kommunikation „ Die";Klimakrise;ist lösbar . Punkt !
14;". "" Redakteur „ Die";Klimakrise;geht alle an . Daher
15;hervorragenden Plan braucht um die;Klimakrise;in Deutschland anzugehen . Diesen
16;klären wir , warum die;Klimakrise;ungerecht ist und wie und
17;Was ist Klimagerechtigkeit ? Die;Klimakrise;ist eine Gerechtigkeitskrise , denn
18;tragen alle die Konsequenzen der;Klimakrise;, jedoch trifft sie uns
19;besser vor den Folgen der;Klimakrise;schützen als andere , was
20;die am wenigsten für die;Klimakrise;verantwortlich sind weder die Mittel